Index,0 [STRING] [0x0]
55,"毒咬箭、风蚀箭的持续伤害出现暴击时有50%的几率重置失血箭及死亡箭雨的复唱时间"
56,"精神值增加2点"
57,"精神值增加4点"
58,"咏唱医治时有20%的几率令魔力消耗减半"
59,"除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍"
60,"精神值增加6点"
61,"战斗中也可以使用复活"
62,"使用治疗后有15%的几率令下次咏唱的救疗不消耗魔力<br><color?>持续时间：</color>15秒"
63,"使用救疗后有15%的几率令下次咏唱的愈疗消耗魔力减半<br><color?>持续时间：</color>15秒"
64,"除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍"
65,"石肤的咏唱时间缩短到2.5秒"
66,"女神的加护的恢复魔力效果量提高到80"
67,"智力值增加2点"
68,"智力值增加4点"
69,"发动沉稳咏唱后有15%的几率重置沉稳咏唱的复唱时间"
70,"除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍<br>星极火与灵极冰可以累积到2档"
71,"崩溃的伤害有20%的几率变为2倍"
72,"令催眠变成范围效果　<color?>范围：</color>半径5米"
73,"智力值增加6点"
74,"反魔罩的效果量增加到最大体力的30%"
75,"除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍<br>星极火与灵极冰可以累积到3档"
76,"使用火炎后有40%的几率令下次咏唱爆炎时不需要咏唱时间也不会消耗魔力<br><color?>持续时间：</color>12秒"
77,"闪雷、震雷、暴雷的持续伤害起效时有10%的几率令下次咏唱的闪雷、震雷、暴雷在命中时额外追加持续伤害总量的伤害，并且咏唱时间与消耗魔力均为0。<br><color?>持续时间：</color>12秒"
78,"转换到园艺工职业时自动发动三角测量的效果"
79,""
80,"利用潜行可以回避的怪物等级提高到30级"
81,"利用潜行可以回避的怪物等级提高到40级"
82,""
83,"利用潜行可以回避的怪物等级提高到50级"
84,""
85,""
86,"转换到采矿工职业时自动发动矿脉勘探的效果"
87,""
88,"利用潜行可以回避的怪物等级提高到30级"
89,"利用潜行可以回避的怪物等级提高到40级"
90,""
91,"利用潜行可以回避的怪物等级提高到50级"
92,""
93,""
94,"能够发现良材及草场在获得率方面的特殊性质"
95,"能够发现良材及草场在采集次数方面的特殊性质"
96,"能够发现良材及草场在优质获得率方面的特殊性质"
97,"能够发现良材及草场在获得个数方面的特殊性质"
98,"在属性加护效果下提高获取水晶的数量"
99,"在属性加护效果下提高获取晶簇的数量"
100,"能够发现矿脉及石场在获得率方面的特殊性质"
101,"能够发现矿脉及石场在采集次数方面的特殊性质"
102,"能够发现矿脉及石场在优质获得率方面的特殊性质"
103,"能够发现矿脉及石场在获得个数方面的特殊性质"
104,"在属性加护效果下提高获取水晶的数量"
105,"在属性加护效果下提高获取晶簇的数量"
106,"在沙海钓场也能抛竿钓鱼"
107,"在云海钓场也能抛竿钓鱼"
108,"利用潜行可以回避的怪物等级提高到30级"
109,"利用潜行可以回避的怪物等级提高到40级"
110,"利用潜行可以回避的怪物等级提高到50级"
111,"能够发现最高15级的鱼洞"
112,"能够发现最高35级的鱼洞"
113,"能够发现最高50级的鱼洞"
114,"可以将通过以小钓大钓到的鱼继续作为鱼饵"
115,"发动以太超流时，自身会附加一档<color #FF7B1A>“以太超流”</color>状态"
116,"智力值增加2点"
117,"智力值增加4点"
118,"自身与召唤兽除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍"
119,"发动以太超流时，自身会附加二档<color #FF7B1A>“以太超流”</color>状态"
120,"召唤兽技能出现暴击时有20%的几率令自身的咏唱速度提高20%<br><color?>持续时间：</color>8秒"
121,"病毒追加令目标智力与精神降低15%的效果<br><color?>持续时间：</color>10秒"
122,"智力值增加6点"
123,"能量吸收恢复魔力的效果翻倍"
124,"自身与召唤兽除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍"
125,"发动以太超流时，自身会附加三档<color #FF7B1A>“以太超流”</color>状态"
126,"以眼还眼的复唱时间缩短到120秒"
127,"振奋的复唱时间缩短到60秒"
128,"搭档的力量提高5%"
129,"搭档的最大体力提高10%"
130,"搭档的命中力提高5%"
131,"搭档的暴击发动力提高15%"
132,"搭档的力量提高5%"
133,"搭档的最大体力提高10%"
134,"搭档的力量提高5%"
135,"搭档的最大体力提高5%"
136,"搭档的命中力提高5%"
137,"搭档的暴击发动力提高15%"
138,"搭档的力量提高10%"
139,"搭档的攻击速度提高10%"
140,"搭档的精神提高10%"
141,"搭档的最大体力提高5%"
142,"搭档的命中力提高5%"
143,"搭档的暴击发动力提高15%"
144,"搭档的精神提高10%"
145,"搭档的最大体力提高5%"
146,"力量值增加2点<br><color #FFFF66>力量提高II（对战专用）：</color>力量值再增加4点<br><color #FFFF66>力量提高III（对战专用）：</color>力量值再增加6点"
147,"力量值增加2点<br><color #FFFF66>力量提高II（对战专用）：</color>力量值再增加4点<br><color #FFFF66>力量提高III（对战专用）：</color>力量值再增加6点"
148,"力量值增加2点<br><color #FFFF66>力量提高II（对战专用）：</color>力量值再增加4点<br><color #FFFF66>力量提高III（对战专用）：</color>力量值再增加6点"
149,"灵巧值增加2点<br><color #FFFF66>灵巧提高II（对战专用）：</color>灵巧值再增加4点<br><color #FFFF66>灵巧提高III（对战专用）：</color>灵巧值再增加6点"
150,"灵巧值增加2点<br><color #FFFF66>灵巧提高II（对战专用）：</color>灵巧值再增加4点<br><color #FFFF66>灵巧提高III（对战专用）：</color>灵巧值再增加6点"
151,"灵巧值增加2点<br><color #FFFF66>灵巧提高II（对战专用）：</color>灵巧值再增加4点<br><color #FFFF66>灵巧提高III（对战专用）：</color>灵巧值再增加6点"
152,"耐力值增加2点<br><color #FFFF66>耐力提高II（对战专用）：</color>耐力值再增加4点<br><color #FFFF66>耐力提高III（对战专用）：</color>耐力值再增加6点"
153,"耐力值增加2点<br><color #FFFF66>耐力提高II（对战专用）：</color>耐力值再增加4点<br><color #FFFF66>耐力提高III（对战专用）：</color>耐力值再增加6点"
154,"耐力值增加2点<br><color #FFFF66>耐力提高II（对战专用）：</color>耐力值再增加4点<br><color #FFFF66>耐力提高III（对战专用）：</color>耐力值再增加6点"
155,"智力值增加2点<br><color #FFFF66>智力提高II（对战专用）：</color>智力值再增加4点<br><color #FFFF66>智力提高III（对战专用）：</color>智力值再增加6点"
156,"智力值增加2点<br><color #FFFF66>智力提高II（对战专用）：</color>智力值再增加4点<br><color #FFFF66>智力提高III（对战专用）：</color>智力值再增加6点"
157,"智力值增加2点<br><color #FFFF66>智力提高II（对战专用）：</color>智力值再增加4点<br><color #FFFF66>智力提高III（对战专用）：</color>智力值再增加6点"
158,"精神值增加2点<br><color #FFFF66>精神提高II（对战专用）：</color>精神值再增加4点<br><color #FFFF66>精神提高III（对战专用）：</color>精神值再增加6点"
159,"精神值增加2点<br><color #FFFF66>精神提高II（对战专用）：</color>精神值再增加4点<br><color #FFFF66>精神提高III（对战专用）：</color>精神值再增加6点"
160,"精神值增加2点<br><color #FFFF66>精神提高II（对战专用）：</color>精神值再增加4点<br><color #FFFF66>精神提高III（对战专用）：</color>精神值再增加6点"
161,"信仰值增加2点<br><color #FFFF66>信仰提高II（对战专用）：</color>信仰值再增加4点<br><color #FFFF66>信仰提高III（对战专用）：</color>信仰值再增加6点"
162,"信仰值增加2点<br><color #FFFF66>信仰提高II（对战专用）：</color>信仰值再增加4点<br><color #FFFF66>信仰提高III（对战专用）：</color>信仰值再增加6点"
163,"信仰值增加2点<br><color #FFFF66>信仰提高II（对战专用）：</color>信仰值再增加4点<br><color #FFFF66>信仰提高III（对战专用）：</color>信仰值再增加6点"
164,""
165,""
166,""
167,""
168,""
169,""
170,""
171,""
172,""
173,""
174,""
175,""
176,""
177,""
178,""
179,""
180,""
181,""
182,""
183,""
184,""
185,""
186,""
187,""
188,""
189,""
190,""
191,""
192,""
193,""
194,""
195,""
196,""
197,""
198,""
199,""
200,""
201,""
202,""
203,""
204,""
205,""
206,""
207,""
208,""
209,""
210,""
211,""
212,""
213,""
214,""
215,""
216,""
217,""
218,""
219,""
220,""
221,""
222,""
223,""
224,""
225,""
226,""
227,""
228,""
229,""
230,""
231,""
232,""
233,""
234,""
235,""
236,"灵巧值增加2点"
237,"降低从高处下落时受到的伤害"
238,"灵巧值增加4点"
239,"出其不意的威力提升至300，正面攻击时威力提升至500"
240,"灵巧值增加6点"
241,"提升自身的移动速度<br>※对战区域内自身附加<color #FF7B1A>“蜂毒”</color>或<color #FF7B1A>“蛇毒”</color>状态时该特性无效"
242,"蜂毒的物理伤害提高效果提升至20%<br>另外，割喉的追加效果变为：<br>眩晕　<color?>持续时间：</color>2秒"
243,"怒斥的恢复技力效果提高"
244,"蛇毒的物理伤害提高效果提升至20%<br>另外，夺取的追加效果变为：<br>将攻击所造成伤害的50%转化为自身的体力"
245,"无双旋的效果时间延长至30秒"
246,"血雨飞花的威力提升至110"
247,""
248,""
249,""
250,""
251,""
252,""
253,""
254,""
255,""
256,""
257,"在采集不存在优质属性的道具时采集数量增多<br>发动条件可通过“筹备”来确认"
258,"能够发现矿脉及石场的隐藏特殊性质"
259,"利用潜行可以回避的怪物等级提高到54级"
260,"利用潜行可以回避的怪物等级提高到57级"
261,"利用潜行可以回避的怪物等级提高到60级"
262,"在采集不存在优质属性的道具时采集数量增多<br>发动条件可通过“筹备”来确认"
263,"能够发现良材及草场的隐藏特殊性质"
264,"利用潜行可以回避的怪物等级提高到54级"
265,"利用潜行可以回避的怪物等级提高到57级"
266,"利用潜行可以回避的怪物等级提高到60级"
267,"能够发现最高55级的鱼洞"
268,"能够发现最高60级的鱼洞"
269,"在浮岛钓场也能抛竿钓鱼"
270,"利用潜行可以回避的怪物等级提高到54级"
271,"利用潜行可以回避的怪物等级提高到57级"
272,"利用潜行可以回避的怪物等级提高到60级"
273,"在熔岩钓场也能抛竿钓鱼"
274,"在魔泉钓场也能抛竿钓鱼"
275,"耐力值增加2点"
276,"暗影护体的减轻伤害效果提高至20%"
277,"耐力值增加4点"
278,"灾变的持续伤害效果时间增加到30秒"
279,"耐力值增加6点"
280,"嗜血的复唱时间缩短到40秒"
281,"发动招架时有30%几率重置下踢的复唱时间"
282,"雪仇剑的复唱时间缩短到30秒"
283,"使用伤残后有30%的几率令下次咏唱的释放不消耗魔力<br><color?>持续时间：</color>15秒<br>"
284,"暗中起舞的提升招架发动率效果提高至30%"
285,"噬魂斩的体力恢复效果提升至伤害量的100%"
286,"灵巧值增加2点"
287,"整备的复唱时间缩短到60秒"
288,"灵巧值增加4点"
289,"除自动攻击外的技能造成的伤害提高至基本伤害的1.1倍，自身设置的浮空炮塔造成的伤害也提高至基本伤害的1.1倍"
290,"灵巧值增加6点"
291,"铅弹的效果时间增加到30秒"
292,"快速上弹的复唱时间缩短到15秒"
293,"散射的范围距离增加到12米"
294,"除自动攻击外的技能造成的伤害提高至基本伤害的1.2倍，自身设置的浮空炮塔造成的伤害也提高至基本伤害的1.2倍"
295,"速射的效果可持续至第3次战技发动"
296,"野火的伤害累积效果提升至伤害量的25%"
297,"精神值增加2点"
298,"精神值增加4点"
299,"光速的攻击魔法伤害降低效果减轻至25%"
300,"除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍"
301,"精神值增加6点"
302,"战斗中也可以使用生辰"
303,"使用吉星后有15%的几率令下次咏唱的福星不需要咏唱时间<br><color?>持续时间：</color>15秒<br>"
304,"先天禀赋的复唱时间缩短到40秒"
305,"除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍"
306,"封技的攻击伤害降低效果提高至10%"
307,"光流以太的恢复魔力效果量提高到80"
308,""
309,""
310,""
311,""
312,""
313,""
314,""
315,""
316,""
317,""
318,""
319,""
320,""
321,""
322,""
323,""
324,""
325,""
326,""
327,""
328,""
329,""
330,""
331,""
332,""
333,""
334,""
335,""
336,""
337,""
338,""
339,""
340,""
341,""
342,""
343,""
344,""
345,""
346,""
347,""
348,""
349,""
350,""
