Index,0 [STRING] [0x0],1 [BYTE] [0xC],2 [STRING] [0x4],3 [BYTE] [0xD],4 [BYTE] [0xE],5 [BYTE] [0xF],6 [BYTE] [0x10],7 [BYTE] [0x11],8 [STRING] [0x8]
10,"长须豹",0,"0",0,0,1,0,0,"一种四足肉食兽，其凶猛的模样让人畏惧。它们的触须十分灵活，捕猎时会用触须放出电击将猎物麻痹后进行捕食。原栖息地为近东地域。艾欧泽亚栖息的长须豹是那些用于战斗被引进而后回归野性的长须豹。"
11,"冥鬼之眼",0,"0",0,0,1,0,0,"一种虚无界的魔物，通过依附动物的眼球出现在物质界。有着较强的魔力，可以通过划动空中的以太让自己浮在空中，擅长石化之术。在妖异学的阶级分类中，大概能排到第四至第五阶级的样子，属于中级妖异。"
12,"古菩猩猩",0,"0",0,0,1,0,0,"如小山一样的巨型两足兽。与头部的苔藓是共存关系，苔藓会给予古菩猩猩伪装，而在干燥期的时候，古菩猩猩会用长长的手臂给头部的苔藓浇水保湿。平时移动很缓慢，在饿了的时候会用那大大的嘴将会动的东西全部吃掉。"
13,"陆行鸟",0,"0",0,0,1,0,0,"利用强壮的脚在大地上奔跑的陆生大型鸟。在艾欧泽亚，陆行鸟自古就用来驮物、拉车以及骑乘。已知库尔札斯是陆行鸟的一大产地，除此之外，在阿巴拉提亚山脉的秘境“陆行鸟之森”里也有着大量野生的陆行鸟。"
14,"蜥蜴人",0,"0",0,0,1,0,0,"生活在帕戈尔赞草原的游牧之民，平日赶赶羊和蜥蜴，是乌尔达哈的宿敌。从小就接受各种军事训练，无论男女老幼，全都是优秀的兵士。另外，蜥蜴人擅长火法冶金技术，他们制作的武具也很有价值。"
15,"鸟人",0,"0",0,0,1,0,0,"非常好战的山岳之民，生活在暴风肆虐的大溪谷。残留在他们手臂上的羽翼是曾在空中翱翔过的证明，也是他们的骄傲。他们希望夺回曾经居住过的黑衣森林，将林木献给他们信仰的风神。因此与格里达尼亚之间的关系非常不好。"
16,"坏妖精",0,"0",0,0,1,0,0,"住在黑衣森林深处的幽谷之民，是一种非常小的兽人。外表非常可爱，像是裹着树叶的人偶。他们之中虽然幻术高手有很多，可是却经常会用幻术做一些非常过分的恶作剧，闹得鸡飞狗跳。如果旅行途中经过他们的栖息地，可一定要多加留意周围的一切可疑事物。"
17,"地灵",0,"0",0,0,1,0,0,"一种被称作地底之民的兽人，居住在威尔布兰德岛山岳地带的坑道里。他们将矿物献给土神，并从土神的法则中孕育出了高度发达的炼金术。与利姆萨·罗敏萨签订了不可侵犯的条约，可谁在乎呢。"
18,"鱼人",0,"0",0,0,1,0,0,"以苍茫洋为根据地的水栖之民。他们在水中也能呼吸，且柔软的四肢让他们游起泳来非常优雅。鱼人族是由一只雌性鱼人以女王的身份进行管理的，建立起像金字塔一样的阶级社会。与利姆萨·罗敏萨是敌对关系。"
19,"塔塔露·塔露",0,"0",0,0,1,0,0,"“哼哼～哼哼～哼。沙之小屋～开满了～鲜花。”<br>拂晓血盟接待员：塔塔露·塔露"
20,"莫古力",0,"0",0,0,1,0,0,"生活在黑衣森林中谜一般的种族。有着强大的魔力，平时会用魔法将自身隐藏起来生活。因此，没有魔法素养的人想看见他们是极其困难的。众所周知，莫古力们非常喜欢歌舞。"
21,"塞壬",0,"0",0,0,1,0,0,"一种海上的魔物，会用优美的歌声迷惑船员，使船只遇难。传闻在很久以前，所有的塞壬都被海盗王雾须讨伐掉了，可是近几年，却又有了塞壬的目击情报。据说塞壬会吸取遇难船上船员的阳气，使他们变成一具行尸走肉。"
22,"奥尔特罗斯&提丰",0,"0",0,0,1,0,0,"咒术师行会进行妖异召唤实验时召唤出来的谜一样的生物。虽然看似是虚无界的妖异，可具体情况一概不明。奥尔特罗斯就职于斗技场财团，而提丰就职于金碟游乐场。"
23,"恶魔墙",0,"0",0,0,1,0,0,"一种古代魔法的产物，用血在墙面刻上花纹，为其注入生命，让其成为建筑物的守护者。在失去了主人之后，恶魔墙依旧忠诚地守护着遗迹，将贸然闯入的冒险者们送上悲惨的末路。"
24,"梦魔",0,"0",0,0,1,0,0,"借助依附女性的身体而显现于物质界的妖异。拥有着神秘而美丽的容姿。有时甚至会将依附主生前的思想继续继承下去。可排进“妖异十二阶”的第三至第四阶级，属于上级妖异。"
25,"奇美拉",0,"0",0,0,1,0,0,"有着狮子、山羊以及龙头的异形魔物。背上长着如蝙蝠一样的翅膀，尾巴又与蝎子的尾巴极其相似，奇美拉拥有着多种魔兽的特征。有人说它是诸神无聊所创造出来的，也有人说它是邪恶魔法师的研究成果……"
26,"蓝龙",0,"0",0,0,1,0,0,"与尘世幻龙和幻龙之子的七大天龙相关联的种族。它们拥有上千年的寿命，而在成长过程中也会有着各种不同的“进化”。所以就算是同一种族，个体之间也会有着极大的差异。"
27,"美男子布迦加",0,"0",0,0,1,0,0,"“啊、啊……啊、啊啊……激动、起来了！”<br>佣兵：美男子布迦加"
28,"莫莫蒂·莫蒂",0,"0",0,0,1,0,0,"“……不过，畅谈人生就免了。恋爱咨询的话我或许可以帮你。嘻嘻。”<br>流沙屋老板娘：莫莫蒂·莫蒂"
29,"十指巴德龙",0,"0",0,0,1,0,0,"“就算是海豚也会溺水，想要成为一名合格的冒险者，就不要忘记自己的初衷。”<br>沉溺海豚亭老板：十指巴德龙"
30,"缪恩",0,"0",0,0,1,0,0,"“欢迎来到魔女咖啡馆，喝点东西放松一下吧。”<br>魔女咖啡馆店主：缪恩"
31,"莉维亚·萨斯·尤尼乌斯",0,"0",0,0,1,0,0,"“你要是再磨蹭的话……我就杀了你。”<br>第十四军团军政官：莉维亚·萨斯·尤尼乌斯"
32,"里塔提恩·萨斯·阿维纳",0,"0",0,0,1,0,0,"“里塔提恩·萨斯·阿维纳！愿为盖乌斯阁下出生入死！”<br>第十四军团阵营官：里塔提恩·萨斯·阿维纳"
33,"比格斯&魏吉",0,"0",0,0,1,0,0,"“还不快道谢？！”“谢谢你救了我们！”<br>加隆德炼铁厂：比格斯&魏吉"
34,"盖罗尔特·布拉克索恩",0,"0",0,0,1,0,0,"“啧……听好了，别看我现在在给酒馆做破罐子，可我就算再怎么堕落，都是个一流武器工匠。”<br>流浪的武器工匠：盖罗尔特·布拉克索恩"
35,"弗里克希奥",0,"0",0,0,1,0,0,"“那里面太闷了，我差点就变成基萨尔野菜了呼啾！”<br>暂留地的族长：弗里克希奥"
36,"缪塔米克斯",0,"0",0,0,1,0,0,"“呼哧……呼哧……人心 寄宿于物品中 化为魔晶石 放出光辉。”<br>窑炉搬运者：缪塔米克斯"
37,"梅梅卢恩",0,"0",0,0,1,0,0,"“梅梅卢恩，最喜欢，闪闪金币。梅梅卢恩，交易站，变更大！”<br>梅梅卢恩交易站：梅梅卢恩"
38,"贝希摩斯",0,"0",0,0,1,0,0,"一种肌肉异常发达的肉食兽。自第七灵灾后，在库尔札斯山脉地区相继发现了有关其的目击情报，人们将它称为蛮神巴哈姆特之子，并起名“贝希摩斯”。有关贝希摩斯的生存状态尚有许多未解之迷，有待研究。"
39,"吉尔伽美什&恩奇都",0,"0",0,0,1,0,0,"“我是流浪的剑豪……吉尔伽美什！”<br>吉尔伽美什&恩奇都"
40,"伊弗利特",0,"0",0,0,1,0,0,"蜥蜴人族召唤的火神。外表狰狞的伊弗利特可谓凶猛狂暴，其吐息如业火一般，其爪可融化钢铁，其角能燃烧天空。挑战它的人必定会被“地狱之火炎”燃身烧心。"
41,"泰坦",0,"0",0,0,1,0,0,"地灵族召唤的土神。泰坦本身性格非常温和，对待自己的信徒地灵族如子嗣般疼爱。不过战斗中的泰坦却截然不同。那巨大如山的身躯加上“大地之怒”，能让整个大地都摇晃起来。"
42,"迦楼罗",0,"0",0,0,1,0,0,"鸟人族召唤的风神。虽然其在空中飞舞的姿态非常优雅，可本质则嗜血成性，无比残忍。信徒们畏惧地称她为“无情女王”。性情变得狂躁后，会放出暴风“大气爆发”。"
43,"贤王莫古尔·莫古十二世",0,"0",0,0,1,0,0,"莫古力族召唤的传说中的王。在故事中，他曾引领莫古力族从天界来到地上，是莫古力族最后的国王。他对部下关照有加，并因此被称赞为贤王。"
44,"拉雅·奥·神纳&阿·卢恩·神纳",0,"0",0,0,1,0,0,"“嘉恩·艾·神纳是我的姐姐。我还有个弟弟叫阿·卢恩·神纳，我们三人被称为幻术三皇。”<br>幻术三皇：拉雅·奥·神纳&阿·卢恩·神纳"
45,"戈德伯特·曼德维尔",0,"0",0,0,1,0,0,"“我戈德伯特身为艾欧泽亚最强的雕金匠……竟搞成这样，真是惭愧……”<br>曼德维尔家族及曼德维尔集团代表：戈德伯特·曼德维尔"
46,"桑克瑞德",0,"0",0,0,1,0,0,"“关键时刻闪亮登场，也是展现个人魅力的好机会！”<br>拂晓血盟：桑克瑞德"
47,"尼禄·托尔·斯卡艾瓦",0,"0",0,0,1,0,0,"“加隆德……我要让你知道，我的魔导技术才是更好的。”<br>第十四军团幕僚长：尼禄·托尔·斯卡艾瓦"
48,"帕帕力莫&伊达",0,"0",0,0,1,0,0,"“伊达！来得太晚了！”“嘿嘿，你们没事就好啦。”<br>拂晓血盟：帕帕力莫&伊达"
49,"雅·修特拉",0,"0",0,0,1,0,0,"“那么就干掉眼前的敌人吧。我们两个人联起手来。”<br>拂晓血盟：雅·修特拉"
50,"于里昂热·奥居雷",0,"0",0,0,1,0,0,"“月明流散，拂晓驱暗……这是我已故友人的遗文……感谢我们的这次相会。”<br>拂晓血盟：于里昂热·奥居雷"
51,"究极神兵",0,"0",0,0,1,0,0,"加雷马帝国军第十四军团用来对抗蛮神的兵器。原本是第三星历时期古代亚拉戈帝国建造的兵器，却因某种原因被长期埋藏在阿拉米格边境的山中。后来由帝国军将其挖掘出土，并进行了修复。"
52,"奥丁",0,"0",0,0,1,0,0,"彷徨于黑衣森林的上古蛮神。无人知晓究竟是谁、何时将其召唤出来的。传闻奥丁骑着爱马“斯莱普尼尔”阔步于黑衣森林，是为了找出自己的仇敌并将其打倒。"
53,"拉姆",0,"0",0,0,1,0,0,"妖精族信仰的雷神。传承说拉姆是通晓古代知识且非常理智的“森林长老”，可是他也有着严厉审判者的一面。对于侵犯森林圣域的敌人，会毫不留情的劈下“制裁之雷”。"
54,"利维亚桑",0,"0",0,0,1,0,0,"鱼人族召唤的水神。潜藏在无光深海，能吞噬海上的一切，非常可怕。从前靠海生活的人们认为“大海啸”是利维亚桑的怨念所致，他们曾献上活祭祈求利维亚桑的怒火平息。"
55,"希瓦",0,"0",0,0,1,0,0,"降临于库尔札斯的冰神。伊修加德正教圣典记载说希瓦与龙族私通，是历史上第一个异端者。而异端者则将其推崇为圣女，认为希瓦是与龙族友好的象征。"
56,"敏菲利亚",0,"0",0,0,1,0,0,"“我们的目的只有一个，那就是拯救艾欧泽亚这片众神眷顾的大地。”<br>拂晓血盟盟主：敏菲利亚"
57,"无影拉哈布雷亚",0,"0",0,0,1,0,0,"“所以和那颗水晶一起……就此消失吧！”<br>暗之使徒：无影拉哈布雷亚"
58,"西德·加隆德",0,"0",0,0,1,0,0,"“这艘企业号，是为了将英雄送上战场而造出来的船！”<br>加隆德炼铁厂代表：西德·加隆德"
59,"阿尔菲诺&阿莉塞",0,"0",0,0,1,0,0,"“目标都是一致的。以后一定会互相理解的吧。”“能理解倒好了！”<br>阿尔菲诺·莱韦耶勒尔&阿莉塞·莱韦耶勒尔"
60,"路易索瓦·莱韦耶勒尔",0,"0",0,0,1,0,0,"“你是用自己的双手开拓道路的人。道路上会聚集人群……人聚集到了一起，也就自然有了城邦。”<br>贤者：路易索瓦·莱韦耶勒尔"
61,"巴哈姆特",0,"0",0,0,1,0,0,"封印于卫月的古代蛮神。因封印解除，使得巴哈姆特结束了长达数千年的沉睡，它用烈焰“百万核爆”将艾欧泽亚烧尽，引发了第七灵灾。"
62,"希尔迪布兰德&娜修·玛卡拉卡",0,"0",0,0,1,0,0,"“天知地知事件知，我乃漂泊的调查员……希尔迪迪迪迪迪迪布兰德！！”<br>调查员：希尔迪布兰德&助手：娜修·玛卡拉卡"
63,"娜娜莫·乌尔·娜莫",0,"0",0,0,1,0,0,"“人民的智慧、人民的勇气、人民的笑颜。只有人民的生命，才是乌尔达哈无与伦比的至宝。”<br>乌尔达哈第十七代国王：娜娜莫·乌尔·娜莫"
64,"盖乌斯·范·巴埃萨",0,"0",0,0,1,0,0,"“为什么愚昧的人民会依赖这些伪神？原因很简单，就是因为那些长者、王者、执政者都是一群软弱无能之辈！”<br>第十四军团军团长：盖乌斯·范·巴埃萨"
65,"梅尔维布·布鲁菲斯维因",0,"0",0,0,1,0,0,"“胜利就像那变幻莫测的海面一般……只有熟知天候、读懂潮汐变化，并能将其驯服支配化为己用的人才能得到眷顾。”<br>黑涡团提督：梅尔维布·布鲁菲斯维因"
66,"嘉恩·艾·神纳",0,"0",0,0,1,0,0,"“我们要时而如柳枝般柔韧，时而如栎木般强韧。经历过风雨后，一定可以迎来和风拂面。”<br>幻术三皇：嘉恩·艾·神纳"
67,"劳班·阿尔丁",0,"0",0,0,1,0,0,"“哈哈哈哈！战场是个好地方……你不知道会碰到什么。眼前的敌人可能会成为自己的老师，而与自己并肩作战的战友则可能成为你的敌人。”<br>恒辉队局长：劳班·阿尔丁"
68,"光之战士",0,"0",0,0,1,0,0,"“光明是不会消失的！”<br>传说中的英雄：光之战士"
69,"弗利奥尼尔",0,"0",0,0,1,0,0,"“走自己认为正确的路！仅此而已！”<br>传说中的英雄：弗利奥尼尔"
70,"洋葱剑士",0,"0",0,0,1,0,0,"“不要仅凭外表就下结论呀！”<br>传说中的英雄：洋葱剑士"
71,"塞西尔·哈维",0,"0",0,0,1,0,0,"“我不是说过吗？这也是我们的战斗。”<br>传说中的英雄：塞西尔·哈维"
72,"巴兹·克劳泽",0,"0",0,0,1,0,0,"“我老爸临终前告诉我，要我到世界各地旅行，增长见识……而且……风在呼唤我！”<br>传说中的英雄：巴兹·克劳泽"
73,"蒂娜·布兰福德",0,"0",0,0,1,0,0,"“别担心，和平的未来一定已经近在咫尺了……”<br>传说中的英雄：蒂娜·布兰福德"
74,"克劳德·斯特莱夫",0,"0",0,0,1,0,0,"“幻想已经结束了……我要活在我的现实中。”<br>传说中的英雄：克劳德·斯特莱夫"
75,"斯考尔·莱昂哈特",0,"0",0,0,1,0,0,"“我可不想被当成过去式！”<br>传说中的英雄：斯考尔·莱昂哈特"
76,"吉坦·特莱巴尔",0,"0",0,0,1,0,0,"“帮助他人需要理由吗？”<br>传说中的英雄：吉坦·特莱巴尔"
77,"提达",0,"0",0,0,1,0,0,"“尤娜在那里！那就去救她！就这么简单！”<br>传说中的英雄：提达"
78,"香托托",0,"0",0,0,1,0,0,"“哎呀！我可要爆发了哦！”<br>传说中的英雄：香托托"
79,"梵",0,"0",0,0,1,0,0,"“就算不够强，既然一起来了，那就要一起离开！”<br>传说中的英雄：梵"
80,"雷光",0,"0",0,0,1,0,0,"“不是能不能做到的问题。不做不行的话，就放手去做。”<br>传说中的英雄：雷光"
