Index,0 [STRING] [0x0],1 [BYTE] [0x10],2 [STRING] [0x4],3 [BYTE] [0x11],4 [BYTE] [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 [STRING] [0x8],9 [STRING] [0xC],10 [USHORT] [0x24],11 [USHORT] [0x26],12 [UBYTE] [0x28],13 [UINT] [0x18],14 [UBYTE] [0x29],15 [INT] [0x1C],16 [INT] [0x20]
2000041,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,5,66705,3,83,85
2000042,"守护天灯笼",0,"守護天節のランタン",0,0,1,0,0,"南瓜制作的灯笼，据说是模仿传说中的南瓜妖怪的外型制作的。","守护天灯笼",24153,1,1,66706,5,83,85
2000043,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,1,66706,3,83,85
2000044,"捣蛋鬼烟花棒",0,"いたずらスパークラー",0,0,1,0,0,"一种手持烟花棒，能够发出非常漂亮的火花。","捣蛋鬼烟花棒",22647,1,1,66706,3,83,85
2000045,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像火属性水晶。","烈火糖果",22624,1,1,66700,3,83,85
2000046,"疾风糖果",0,"ウィンドキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像风属性水晶。","疾风糖果",22625,1,1,66700,3,83,85
2000047,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像土属性水晶。","厚土糖果",22626,1,1,66700,3,83,85
2000048,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,5,66701,3,83,85
2000049,"守护天灯笼",0,"守護天節のランタン",0,0,1,0,0,"南瓜制作的灯笼，据说是模仿传说中的南瓜妖怪的外型制作的。","守护天灯笼",24153,1,1,66702,5,83,85
2000050,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,1,66702,3,83,85
2000051,"捣蛋鬼烟花棒",0,"いたずらスパークラー",0,0,1,0,0,"一种手持烟花棒，能够发出非常漂亮的火花。","捣蛋鬼烟花棒",22646,1,1,66702,3,83,85
2000052,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像火属性水晶。","烈火糖果",22624,1,1,66708,3,83,85
2000053,"疾风糖果",0,"ウィンドキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像风属性水晶。","疾风糖果",22625,1,1,66708,3,83,85
2000054,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,"一种特别制作的糖果，一闪一闪的好像土属性水晶。","厚土糖果",22626,1,1,66708,3,83,85
2000055,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,5,66709,3,83,85
2000056,"守护天灯笼",0,"守護天節のランタン",0,0,1,0,0,"南瓜制作的灯笼，据说是模仿传说中的南瓜妖怪的外型制作的。","守护天灯笼",24153,1,1,66710,5,83,85
2000057,"爆弹怪的拇指",0,"ボムの親指",0,0,1,0,0,"气体生物爆弹怪的拇指。","爆弹怪的拇指",30201,1,1,66710,3,83,85
2000058,"捣蛋鬼烟花棒",0,"いたずらスパークラー",0,0,1,0,0,"一种手持烟花棒，能够发出非常漂亮的火花。","捣蛋鬼烟花棒",22645,1,1,66710,3,83,85
2000059,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000060,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000061,"琥珀色药水",0,"琥珀色の薬液",0,0,1,0,0,"加比诺老爹在他的小屋里所给的药水。","琥珀色药水",20661,1,3,65663,3,83,85
2000062,"沙蚤的卵囊",0,"チゴーの卵袋",0,0,1,0,0,"沙蚤的卵囊。","沙蚤的卵囊",22623,1,8,65664,3,83,85
2000063,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000064,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000065,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000066,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000067,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000068,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000069,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000070,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000071,"变色龙蛋",0,"アノールの卵",0,0,1,0,0,"变色龙的蛋。","变色龙蛋",25251,1,4,65661,3,83,85
2000072,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000073,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000074,"手工鳗鱼派",0,"お手製のイールパイ",0,0,1,0,0,"魔女咖啡馆店主缪恩亲手做的鳗鱼派。","手工鳗鱼派",24305,1,1,65621,3,83,85
2000075,"达梅塔的豆子袋",0,"アメッタの豆袋",0,0,1,0,0,"装有姆恩·图伊豆的袋子。","达梅塔的豆子袋",22623,1,6,65639,3,83,85
2000076,"给艾美利亚的信",0,"エメリア宛ての手紙",0,0,1,0,0,"爱尔波特掉落的信。","给艾美利亚的信",26151,1,1,65635,3,83,85
2000077,"小口花的嫩叶",0,"コチューの若葉",0,0,1,0,0,"小口花的嫩叶。","小口花的嫩叶",25201,1,4,65634,0,83,85
2000078,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000079,"约恩娜的密封信",0,"フ・ミバスの封書",0,0,1,0,0,"弓箭手行会的冒险者约恩娜所给的密封信。","约恩娜的密封信",26068,0,1,65560,0,83,85
2000080,"粮草袋",0,"糧秣袋",0,0,1,0,0,"魔女咖啡馆的冒险者塞莱斯汀所给的粮草袋。","粮草袋",22623,0,1,65570,0,83,85
2000081,"骨制枪尖",0,"骨製の穂先",0,0,1,0,0,"骨制的枪尖。","骨制枪尖",22303,0,1,65574,0,83,85
2000082,"蜂蜡保革油",0,"蜜蝋の保革油",0,0,1,0,0,"以蜂蜡为基底的保革油。","蜂蜡保革油",22636,0,1,65574,0,83,85
2000083,"强韧的粗草绳",0,"丈夫な荒縄",0,0,1,0,0,"非常强韧结实的粗草绳。","强韧的粗草绳",26103,0,1,65574,0,83,85
2000084,"阿泽玛玫瑰果",0,"アーゼマローズの実",0,0,1,0,0,"阿泽玛玫瑰的果实。","阿泽玛玫瑰果",25302,1,6,65577,0,83,85
2000085,"新鲜的基萨尔野菜",0,"新鮮なギサールの野菜",0,0,1,0,0,"原产于近东地区的叶菜，特别适合用来当做陆行鸟的饲料。","新鲜的基萨尔野菜",25218,1,1,66698,3,83,85
2000086,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000087,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000088,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000089,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000090,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000091,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000092,"小红花的种子",0,"ローズレットの種子",0,0,1,0,0,"打倒小红花得到的种子。","小红花的种子",22623,1,6,65692,3,83,85
2000093,"新鲜的蛛蝎网",0,"新鮮なダイアマイトウェブ",0,0,1,0,0,"打倒蛛蝎得到的新鲜粘液。","新鲜的蛛蝎网",21664,1,6,65693,3,83,85
2000094,"蜂毒酒",0,"蜂漬けの毒酒",0,0,1,0,0,"浸泡了黄蜂的毒酒。","蜂毒酒",24403,1,1,65694,3,83,85
2000095,"小火种",0,"小さな火種",0,0,1,0,0,"小小的火种。","小火种",30202,1,1,65695,3,83,85
2000096,"蕾亚的蛋",0,"レイアの卵",0,0,1,0,0,"名为“蕾亚”的陆行鸟的蛋。","蕾亚的蛋",25252,1,1,65697,3,83,85
2000097,"凯夏的密封信",0,"ケーシャの封書",0,0,1,0,0,"弯枝牧场的凯夏所给的密封信。","凯夏的密封信",26068,1,1,0,3,83,85
2000098,"绯红色虫油",0,"緋色の虫油",0,0,1,0,0,"打倒花甲虫得到的绯红色的虫油。","绯红色虫油",20641,1,6,65567,0,83,85
2000099,"黄蜂尸骸",0,"蜂の死骸",0,0,1,0,0,"黄蜂群的尸骸。","黄蜂尸骸",22623,1,4,65694,3,83,85
2000100,"走味的麦酒",0,"気の抜けたエール",0,0,1,0,0,"没什么味道的小麦酒。","走味的麦酒",20643,1,3,65696,3,83,85
2000101,"阿泽玛玫瑰精油",0,"アーゼマローズの香油",0,0,1,0,0,"阿泽玛玫瑰提取的精油。","阿泽玛玫瑰精油",20663,1,2,65556,3,83,85
2000102,"勇气之卵石",0,"勇気の丸石",0,0,1,0,0,"用于枪术师试炼的卵石。","勇气之卵石",21451,1,1,65571,0,83,85
2000103,"枯叶色的精油",0,"朽葉色の香油",0,0,1,0,0,"艾·斯密·雅恩所给的枯叶色的精油。","枯叶色的精油",22636,1,1,0,3,83,85
2000104,"陈旧的八分仪",0,"古びた八分儀",0,0,1,0,0,"测量经纬度的工具，海上航行时必不可少，看上去已经用了很久了。","陈旧的八分仪",21002,1,1,65644,3,83,85
2000105,"陈旧的八分仪",0,"古びた八分儀",0,0,1,0,0,"测量经纬度的工具，海上航行时必不可少，看上去已经用了很久了。","陈旧的八分仪",21002,1,1,65645,3,83,85
2000106,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000107,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000108,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000109,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000110,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000111,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000112,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000113,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000114,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000115,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000116,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000117,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000118,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000119,"手工鳗鱼派",0,"お手製のイールパイ",0,0,1,0,0,"魔女咖啡馆店主缪恩亲手做的鳗鱼派。","手工鳗鱼派",24305,1,1,65659,3,83,85
2000120,"手工鳗鱼派",0,"お手製のイールパイ",0,0,1,0,0,"魔女咖啡馆店主缪恩亲手做的鳗鱼派。","手工鳗鱼派",24305,1,1,65660,3,83,85
2000121,"无浊的清水",0,"濁りなき清水",0,0,1,0,0,"在东部林区的湖畔采集到的清水。","无浊的清水",22614,1,1,65628,3,83,85
2000122,"勇气之卵石",0,"勇気の丸石",0,0,1,0,0,"用于考验枪术师的卵石。","勇气之卵石",21451,1,1,65679,0,83,85
2000123,"魔导感光器",0,"魔導フォトセル",0,0,1,0,0,"有着绿色光辉的小型发光体。","魔导感光器",22625,1,99,0,0,83,85
2000124,"食腐沙蚤的卵囊",0,"キャリオンチゴーの卵袋",0,0,1,0,0,"从产卵期的沙蚤身上采取的卵囊。","食腐沙蚤的卵囊",22623,0,99,0,0,83,85
2000125,"僵尸的遗留物",0,"ゾンビーの遺留物",0,0,1,0,0,"理符任务的目标物品。","僵尸的遗留物",22623,0,99,0,0,83,85
2000126,"大个的蜜蜂",0,"大ぶりの蜜蜂",0,0,1,0,0,"个头很大的蜜蜂，适合用来烹饪甘露煮。","大个的蜜蜂",27002,0,99,0,0,83,85
2000127,"滑润的嫩叶",0,"ヌメヌメ若葉",0,0,1,0,0,"陷阱草的嫩叶，摸起来滑溜溜的。","滑润的嫩叶",25201,0,99,0,0,83,85
2000128,"偷猎的皮革",0,"密猟された皮革",0,0,1,0,0,"从偷猎团伙“豹爪”手中夺回的赃物。","偷猎的皮革",21002,0,99,0,0,83,85
2000129,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000130,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000131,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000132,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000133,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000134,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000135,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000136,"无名的密封信",0,"無記名の封書",0,0,1,0,0,"维蒙德所写的神秘信件。","无名的密封信",26068,1,1,65685,3,83,85
2000137,"剑斗士弗朗茨的海报",0,"剣闘士フランツのポスター",0,0,1,0,0,"为了声援剑斗士弗朗茨而制作的海报。","剑斗士弗朗茨的海报",26056,1,3,65689,3,181,367
2000138,"鼩鼱的粗皮",0,"スナッピングシュルーから採れる毛皮",0,0,1,0,0,"猛烈鼩鼱的粗皮，很粗糙。","鼩鼱的粗皮",21809,1,5,65699,3,83,85
2000139,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000140,"暖和的麻袋",0,"生温かい麻袋",0,0,1,0,0,"不知道麻袋里装的什么，摸起来很暖和。","暖和的麻袋",22628,1,1,65709,3,83,85
2000141,"测量记录册",0,"測量記録書",0,0,1,0,0,"记有测量结果的文件。","测量记录册",26151,1,1,65711,3,83,85
2000142,"盲头蟹的甲壳",0,"ボッグヤーゾンの甲殻",0,0,1,0,0,"盲头蟹身上的甲壳，很结实。","盲头蟹的甲壳",22252,1,4,65733,0,83,85
2000143,"灯火茸",0,"トモシビタケ",0,0,1,0,0,"在和平苑附近的山崖上采集到的发光菌类。","灯火茸",25402,1,1,65731,3,83,85
2000144,"蚜虫",0,"アブラムシ",0,0,1,0,0,"潜伏在黑衣森林草丛中的昆虫。","蚜虫",27003,1,1,65707,3,83,85
2000145,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000146,"测量工具箱",0,"測量道具箱",0,0,1,0,0,"装有测量工具的木箱。","测量工具箱",21002,1,2,65711,3,83,85
2000147,"测量用的粗绳",0,"測量用の荒縄",0,0,1,0,0,"测量时使用的结实的粗绳。","测量用的粗绳",26103,1,1,65711,3,83,85
2000148,"东阿尔迪纳德商会的货物",0,"東アルデナード商会の荷物",0,0,1,0,0,"由黄昏湾发送给东阿尔迪纳德商会的货物。","东阿尔迪纳德商会的货物",21003,1,3,65758,3,83,85
2000149,"仙人掌露",0,"サボテン水",0,0,1,0,0,"从仙人掌体内获取的液体，有保湿的效果。","仙人掌露",20642,1,4,65759,3,83,85
2000150,"法法弗诺的货物",0,"ファファフォノの荷物",0,0,1,0,0,"放在太阳下使得货物变得有点热，希望里面的东西不会坏掉。","法法弗诺的货物",21003,1,3,65761,3,83,85
2000151,"魔菇的毒孢子囊",0,"ファンガーの毒胞子袋",0,0,1,0,0,"用于解毒训练的魔菇毒孢子囊。","魔菇的毒孢子囊",25403,0,99,0,0,83,85
2000152,"建筑用小口花卷须",0,"建材用コチューのつる",0,0,1,0,0,"用于搭建阵营训练的小口花卷须。","建筑用小口花卷须",26103,0,99,0,0,83,85
2000153,"天然磁石",0,"天然磁石",0,0,1,0,0,"天然带有磁力的石头。","天然磁石",21209,1,3,65764,3,83,85
2000154,"黄铜制拟饵",0,"黄銅製のルアー",0,0,1,0,0,"用黄铜制作的拟饵，不过有些破旧了。","黄铜制拟饵",27055,1,2,65765,3,83,85
2000155,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000156,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000157,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000158,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000159,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000160,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000161,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000162,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000163,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000164,"矿爬虫油",0,"コブランの虫油",0,0,1,0,0,"用矿爬虫榨取的油，黏糊糊的。","矿爬虫油",20663,1,4,65763,3,83,85
2000165,"给莫莫蒂的信",0,"モモディ宛の手紙",0,0,1,0,0,"琪琪普写给莫莫蒂的信。","给莫莫蒂的信",26068,1,1,65766,3,83,85
2000166,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000167,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000168,"灵蚁的大颚",0,"アントリングの大顎",0,0,1,0,0,"灵蚁工蚁的大颚，又硬又尖锐。","灵蚁的大颚",22205,1,5,65841,3,83,85
2000169,"锤喙魔鸟的骨片",0,"ハンマービークの骨片",0,0,1,0,0,"锤喙魔鸟的骨头，块头很大。","锤喙魔鸟的骨片",22202,1,1,0,3,83,85
2000170,"大块银矿石",0,"大ぶりの銀鉱 ",0,0,1,0,0,"闪着银光的矿石，矿爬虫最感兴趣。","大块银矿石",21211,1,1,0,3,83,85
2000171,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000172,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000173,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000174,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000175,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000176,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000177,"锤喙魔鸟的骨片",0,"ハンマービークの骨片",0,0,1,0,0,"锤喙魔鸟的骨头，块头很大。","锤喙魔鸟的骨片",22202,1,8,65862,3,83,85
2000178,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000179,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000180,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000181,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000182,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000183,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000184,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000185,"宝贝钓竿",0,"愛用の釣竿",0,0,1,0,0,"经常使用的钓竿，对使用者来说是无与伦比的宝贝。","宝贝钓竿",38401,1,1,65921,3,83,85
2000186,"洛兹琳的传令信",0,"ロズリンからの伝令文",0,0,1,0,0,"写有嫌疑人消息的传令书信。","洛兹琳的传令信",26151,1,1,65916,3,83,85
2000187,"洛兹琳的传令信",0,"ロズリンからの伝令文",0,0,1,0,0,"写有嫌疑人消息的传令书信。","洛兹琳的传令信",26151,1,1,65916,3,83,85
2000188,"洛兹琳的传令信",0,"ロズリンからの伝令文",0,0,1,0,0,"写有嫌疑人消息的传令书信。","洛兹琳的传令信",26151,1,1,65916,3,83,85
2000189,"装有冷水的水瓶",0,"冷水入りの水瓶",0,0,1,0,0,"普通的水瓶，里面装着冷水。","装有冷水的水瓶",25055,1,1,65903,3,83,85
2000190,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000191,"陌生的皮袋",0,"見慣れぬ革袋",0,0,1,0,0,"掉在篝火的残迹附近的皮袋，不知道是谁的。","陌生的皮袋",26069,1,1,65915,3,83,85
2000192,"妮美雅百合花束",0,"ニメーヤリリーの花束",0,0,1,0,0,"放置在祭坛上的白花。","妮美雅百合花束",22627,1,3,65919,3,83,85
2000193,"千年果实",0,"千年果実",0,0,1,0,0,"树龄已超过一千年的长老树结出的果实。","千年果实",25308,0,99,0,0,83,85
2000194,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000195,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000196,"阿莱温的药草补剂",0,"エールウィンの薬草トニック",0,0,1,0,0,"阿莱温炼制的草药补剂。","阿莱温的药草补剂",20661,1,1,65930,3,83,85
2000197,"古老的陶器",0,"古めかしい陶器",0,0,1,0,0,"非常古老的陶器，上面有些裂纹。","古老的陶器",25055,1,1,65931,3,83,85
2000198,"散落的金币",0,"バラまかれたギル貨幣",0,0,1,0,0,"装有少量金币的小口袋。","散落的金币",26069,1,5,65932,3,83,85
2000199,"南瓜的兑换凭单",0,"パンプキンの引替伝票",0,0,1,0,0,"在王立娜娜莫菜园预订了南瓜之后，需要用这张票据去兑换。","南瓜的兑换凭单",26056,1,1,65839,3,83,85
2000200,"羚羊腌肉",0,"アンテロープの塩漬け肉",0,0,1,0,0,"用盐腌制的羚羊肉，能保存很久。","羚羊腌肉",24353,1,1,65890,3,83,85
2000201,"装饰品的订单",0,"装飾具の注文書",0,0,1,0,0,"新人剑术师扎扎历库想要订制华贵的头冠而下达的订单。","装饰品的订单",26151,1,1,65701,3,83,85
2000202,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000203,"装有姆恩·图伊豆的木箱",0,"ムントゥイ豆入りの木箱",0,0,1,0,0,"箱子里装满了干燥的姆恩·图伊豆，是狐猴最喜欢的食物。","装有姆恩·图伊豆的木箱",21003,1,1,65891,3,83,85
2000204,"小型幻杖",0,"小さな幻具",0,0,1,0,0,"在残桩上发现的小型幻术用的手杖。","小型幻杖",32412,1,1,65892,3,83,85
2000205,"小型幻杖",0,"小さな幻具",0,0,1,0,0,"在残桩上发现的小型幻术用的手杖。","小型幻杖",32412,1,1,65892,3,83,85
2000206,"狩猎工具箱",0,"狩猟道具箱",0,0,1,0,0,"普通的工具箱，里面装有狩猎时设置陷阱用的工具。","狩猎工具箱",21002,1,3,65898,3,83,85
2000207,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000208,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000209,"羚羊内脏",0,"アンテロープの臓物",0,0,1,0,0,"还保留着的体温的羚羊内脏，是献给森林元灵的供品。","羚羊内脏",25502,1,4,65904,3,83,85
2000210,"大口花的嫩叶",0,"オチューの若葉",0,0,1,0,0,"色彩鲜艳的大口花嫩叶。","大口花的嫩叶",25201,1,4,65908,3,83,85
2000211,"新鲜鼹鼠肉",0,"新鮮なモールの肉",0,0,1,0,0,"超好吃的鼹鼠肉糕的重要原料。","新鲜鼹鼠肉",25155,1,2,65840,3,83,85
2000212,"大块银矿石",0,"大ぶりの銀鉱",0,0,1,0,0,"闪着银光的矿石，矿爬虫最感兴趣。","大块银矿石",21215,1,1,65843,3,83,85
2000213,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000214,"鬼鮟鱇的白肉",0,"オロボンの白身",0,0,1,0,0,"鬼鮟鱇肥厚嫩滑的白肉。","鬼鮟鱇的白肉",25502,1,4,65858,3,83,85
2000215,"六识之鲜血",0,"六識の鮮血",0,0,1,0,0,"六识纲生物的血液，不知道为什么不会凝固。","六识之鲜血",22601,1,4,65900,3,83,85
2000216,"带有艾玛吉娜印记的木箱",0,"アマジナ印の木箱",0,0,1,0,0,"艾玛吉娜矿山公司运送矿石用的木箱。","带有艾玛吉娜印记的木箱",21002,1,3,65844,3,83,85
2000217,"纳尔迪克＆威米利作坊的密封信",0,"ナルディク＆ヴィメリー社の封書",0,0,1,0,0,"赫·纳恩萨要交给首席造船师阿特比尔姆的密封信。","纳尔迪克＆威米利作坊的密封信",26068,1,1,65942,3,83,85
