Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8],3 [UBYTE] [0x58],4 [BYTE] [0x61],5 [BYTE] [0x62],6 [UBYTE] [0x59],7 [UBYTE] [0x5A],8 [BYTE] [0x63],9 [USHORT] [0x30],10 [USHORT] [0x32],11 [USHORT] [0x34],12 [USHORT] [0x36],13 [USHORT] [0x38],14 [USHORT] [0x3A],15 [USHORT] [0x3C],16 [USHORT] [0x3E],17 [USHORT] [0x40],18 [USHORT] [0x42],19 [USHORT] [0x44],20 [USHORT] [0x46],21 [USHORT] [0x48],22 [USHORT] [0x4A],23 [UBYTE] [0x5B],24 [STRING] [0x18],25 [INT] [0x28],26 [INT] [0x2C],27 [UBYTE] [0x5C],28 [UBYTE] [0x5D],29 [BYTE] [0x64],30 [UBYTE] [0x5E],31 [USHORT] [0x4C],32 [USHORT] [0x4E],33 [USHORT] [0x50],34 [USHORT] [0x52],35 [USHORT] [0x54],36 [USHORT] [0x56],37 [UBYTE] [0x5F],38 [QUAD] [0x10],39 [UINT] [0x1C],40 [UINT] [0x20],41 [UINT] [0x24],42 [UBYTE] [0x60]
10,"铸甲匠","ARM","甲",33,9,-1,0,0,2,100,100,100,105,90,90,90,90,100,100,100,100,100,100,10,"Armorer",0,0,0,0,127,0,0,0,0,0,0,0,103,"0, 0, 0, 0",10339,0,0,1
11,"雕金匠","GSM","彫",33,10,-1,0,0,3,100,100,90,90,105,100,90,90,100,100,100,100,100,100,11,"Goldsmith",0,0,0,0,127,0,0,0,0,0,0,0,104,"0, 0, 0, 0",10340,0,0,1
12,"制革匠","LTW","革",33,11,-1,0,0,4,100,100,90,105,90,100,90,90,100,100,100,100,100,100,12,"Leatherworker",0,0,0,0,127,0,0,0,0,0,0,0,105,"0, 0, 0, 0",10341,0,0,1
13,"裁衣匠","WVR","裁",33,12,-1,0,0,5,100,100,90,90,105,90,100,90,100,100,100,100,100,100,13,"Weaver",0,0,0,0,127,0,0,0,0,0,0,0,106,"0, 0, 0, 0",10342,0,0,1
14,"炼金术士","ALC","錬",33,13,-1,0,0,6,100,100,90,90,90,105,90,100,100,100,100,100,100,100,14,"Alchemist",0,0,0,0,127,0,0,0,0,0,0,0,107,"0, 0, 0, 0",10343,0,0,1
15,"烹调师","CUL","調",33,14,-1,0,0,7,100,100,90,90,90,90,105,100,100,100,100,100,100,100,15,"Culinarian",0,0,0,0,127,0,0,0,0,0,0,0,108,"0, 0, 0, 0",10344,0,0,1
16,"采矿工","MIN","採",32,15,-1,0,0,-1,100,100,100,90,90,90,100,90,100,100,100,100,100,100,16,"Miner",0,0,0,0,127,0,0,0,0,0,0,0,201,"0, 0, 0, 0",0,0,0,1
17,"园艺工","BTN","園",32,16,-1,0,0,-1,100,100,90,90,100,100,90,90,100,100,100,100,100,100,17,"Botanist",0,0,0,0,127,0,0,0,0,0,0,0,202,"0, 0, 0, 0",0,0,0,1
18,"捕鱼人","FSH","漁",32,17,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,"Fisher",0,0,0,0,127,0,0,0,0,0,0,0,203,"0, 0, 0, 0",0,0,0,1
19,"骑士","PLD","ナ",30,1,-1,8,1,-1,120,60,100,110,95,60,100,85,100,100,100,100,100,100,1,"Paladin",0,0,1,0,0,3,197,198,199,3359,0,0,51,"9001, 76, 1, 0",4542,66656,66596,1
20,"武僧","MNK","モ",30,0,-1,9,2,-1,110,45,110,100,105,50,90,65,100,100,100,100,100,100,2,"Monk",0,0,2,0,1,1,200,201,202,3360,0,0,52,"9001, 77, 1, 0",4543,66657,66602,1
21,"战士","WAR","戦",30,2,-1,10,3,-1,125,40,105,110,95,40,55,45,100,100,100,100,100,100,3,"Warrior",0,0,1,0,2,3,197,198,4240,3359,0,0,53,"9001, 78, 1, 0",4544,66655,66590,1
22,"龙骑士","DRG","竜",30,4,-1,11,4,-1,115,50,115,105,100,45,65,75,100,100,100,100,100,100,4,"Dragoon",0,0,2,0,3,1,200,201,4242,3360,0,0,54,"9001, 79, 1, 0",4545,66658,66608,1
23,"吟游诗人","BRD","吟",30,3,-1,12,5,-1,105,80,90,100,115,85,80,85,100,100,100,100,100,100,5,"Bard",0,0,3,0,4,2,4238,4239,4244,4249,0,0,55,"9001, 80, 1, 0",4546,66659,66614,1
24,"白魔法师","WHM","白",31,6,-1,13,6,-1,105,120,55,100,105,105,115,120,100,100,100,100,100,100,6,"White Mage",0,0,4,0,5,5,206,207,208,3362,0,0,57,"9001, 81, 1, 0",4547,66660,66620,1
25,"黑魔法师","BLM","黒",31,5,-1,14,7,-1,105,125,45,100,100,115,75,120,100,100,100,100,100,100,7,"Black Mage",0,0,3,0,6,4,203,204,205,3361,0,0,58,"9001, 82, 1, 0",4548,66661,66626,1
26,"秘术师","ACN","巴",31,18,7,15,0,-1,100,110,85,95,95,105,75,100,100,100,100,100,100,100,26,"Arcanist",2142,0,3,1,7,4,203,204,4246,3361,0,0,9,"0, 0, 0, 0",0,0,0,1
27,"召唤师","SMN","召",31,18,-1,16,8,-1,105,110,90,100,100,115,80,105,100,100,100,100,100,100,26,"Summoner",0,0,3,0,7,4,203,204,4246,3361,0,0,59,"9001, 83, 1, 0",4549,66662,66632,1
28,"学者","SCH","学",31,18,-1,17,9,-1,105,115,90,100,100,105,115,120,100,100,100,100,100,100,26,"Scholar",0,0,4,0,7,6,206,207,4247,3362,0,0,60,"9001, 84, 1, 0",4550,66663,66638,1
29,"双剑师","ROG","双",30,19,8,18,0,-1,103,40,80,95,100,60,70,60,100,100,100,100,100,100,29,"Rogue",0,0,2,0,11,2,200,201,4243,3360,0,0,6,"0, 0, 0, 0",0,0,0,1
30,"忍者","NIN","忍",30,19,-1,19,10,-1,108,50,85,100,110,65,75,65,100,100,100,100,100,100,29,"Ninja",0,0,2,0,11,2,200,201,4243,3360,0,0,56,"9001, 103, 1, 0",7886,67115,65770,1
31,"机工士","MCH","機",30,20,9,20,11,-1,105,80,85,100,115,80,85,85,100,100,100,100,100,100,31,"Machinist",0,0,3,0,-1,2,4238,4239,4245,4249,0,0,62,"9001, 113, 1, 0",8574,0,0,30
32,"暗黑骑士","DRK","暗",30,21,10,21,12,-1,120,80,105,110,95,60,40,85,100,100,100,100,100,100,32,"Dark Knight",0,0,1,0,-1,3,197,198,4241,3359,0,0,61,"9001, 115, 1, 0",8839,0,0,30
33,"占星术士","AST","占",31,22,11,22,13,-1,105,120,50,100,100,105,115,120,100,100,100,100,100,100,33,"Astrologian",0,0,4,0,-1,6,206,207,4248,3362,0,0,63,"9001, 114, 1, 0",8840,0,0,30
