Index,0 Name Lower [0x0],1 [BYTE] [0x10],2 Name Plural [0x4],3 [BYTE] [0x11],4 Starts With Vowel [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 Item Description [0x8],9 Name Upper [0xC],10 Icon Id [0x48],11 Item Level [0x6C],12 Required Level [0x6D],13 PvP Rank [0x6E],14 Stack Size [0x28],15 [UBYTE] [0x6F],16 Stain Index [0x2C],17 ItemUICategory Index [0x70],18 ItemSearchCategory Index [0x71],19 Rarity [0x72],20 Is HQ [0x98],21 [BBOOL] [0x98],22 Is Dyeable [0x98],23 Is Crest [0x98],24 [UBYTE] [0x73],25 Materia Count [0x74],26 [BBOOL] [0x98],27 EquipSlotCategory Index [0x75],28 Model Primary [0x18],29 Model Secondary [0x20],30 [USHORT] [0x4A],31 BaseParam Index 1 [0x76],32 Param Value 1 [0x60],33 BaseParam Index 2 [0x77],34 Param Value 2 [0x62],35 BaseParam Index 3 [0x78],36 Param Value 3 [0x64],37 BaseParam Index 4 [0x79],38 Param Value 4 [0x66],39 BaseParam Index 5 [0x7A],40 Param Value 5 [0x68],41 BaseParam Index 6 [0x7B],42 Param Value 6 [0x6A],43 ItemSpecialBonus Index [0x7C],44 BaseParam Prime HQ Index 1 [0x7D],45 Prime HQ Addition 1 [0x8D],46 BaseParam Prime HQ Index 2 [0x7E],47 Prime HQ Addition 2 [0x8E],48 BaseParam HQ Index 1 [0x7F],49 Stat HQ Addition 1 [0x8F],50 BaseParam HQ Index 2 [0x80],51 Stat HQ Addition 2 [0x90],52 BaseParam HQ Index 3 [0x81],53 Stat HQ Addition 3 [0x91],54 BaseParam HQ Index 4 [0x82],55 Stat HQ Addition 4 [0x92],56 ClassJob Index (Repairer Requirement) [0x83],57 Item Index (Repair Item Requirement) [0x40],58 ClassJob Index (Usage Requirement) [0x84],59 [UBYTE] [0x85],60 Physical Damage [0x4C],61 Magical Damage [0x4E],62 Delay (Miliseconds) [0x50],63 [UBYTE] [0x86],64 Block Rate [0x52],65 Block [0x54],66 Physical Defense [0x56],67 Magical Defense [0x58],68 [UBYTE] [0x87],69 Cooldown (Seconds) [0x5A],70 ItemAction Index [0x5C],71 Is Not Disposable [0x98],72 Is Unique [0x98],73 Is Untradeable [0x98],74 [BBOOL] [0x99],75 Vendor Price A [0x30],76 Vendor Price B [0x34],77 Vendor Price C [0x38],78 Can _ Equip [0x93],79 Can _ Equip [0x94],80 Can _ Equip [0x95],81 Can _ Equip [0x96],82 Can _ Equip [0x97],83 Can _ Equip [0x99],84 Can Males Equip [0x99],85 Can Females Equip [0x88],86 ClassJobCategory Index [0x3C],87 [UBYTE] [0x89],88 GrandCompany Index [0x8A],89 [UBYTE] [0x8B],90 ItemSeries Index [0x8C],91 BaseparamModifier Index [0x99],92 Is PvP [0x44],93 Item Index (Glamoured Item) [0x5E]
10,"风之水晶",0,"",0,0,1,0,0,"风媒介的结晶。","风之水晶",20010,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,26,0,0,0,0,false,0,0
11,"土之水晶",0,"",0,0,1,0,0,"土媒介的结晶。","土之水晶",20012,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,25,0,0,0,0,false,0,0
12,"雷之水晶",0,"",0,0,1,0,0,"雷媒介的结晶。","雷之水晶",20011,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,24,0,0,0,0,false,0,0
13,"水之水晶",0,"",0,0,1,0,0,"水媒介的结晶。","水之水晶",20008,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,23,0,0,0,0,false,0,0
14,"火之晶簇",0,"",0,0,1,0,0,"火媒介的树状结晶。","火之晶簇",20013,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,18,0,0,0,0,false,0,0
15,"冰之晶簇",0,"",0,0,1,0,0,"冰媒介的树状结晶。","冰之晶簇",20015,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,17,0,0,0,0,false,0,0
16,"风之晶簇",0,"",0,0,1,0,0,"风媒介的树状结晶。","风之晶簇",20016,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,16,0,0,0,0,false,0,0
17,"土之晶簇",0,"",0,0,1,0,0,"土媒介的树状结晶。","土之晶簇",20018,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,15,0,0,0,0,false,0,0
18,"雷之晶簇",0,"",0,0,1,0,0,"雷媒介的树状结晶。","雷之晶簇",20017,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,14,0,0,0,0,false,0,0
19,"水之晶簇",0,"",0,0,1,0,0,"水媒介的树状结晶。","水之晶簇",20014,50,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,495,990,2475,false,false,false,false,false,false,false,0,13,0,0,0,0,false,0,0
20,"黑涡团军票",0,"",0,0,1,0,0,"利姆萨·罗敏萨所属大国防联军“黑涡团”所发行的军票，能够交换军装及军需品。","黑涡团军票",61474,1,1,0,999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,98,0,0,0,0,false,0,0
21,"双蛇党军票",0,"",0,0,1,0,0,"格里达尼亚所属大国防联军“双蛇党”所发行的军票，能够交换军装及军需品。","双蛇党军票",61475,1,1,0,999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,97,0,0,0,0,false,0,0
22,"恒辉队军票",0,"",0,0,1,0,0,"乌尔达哈所属大国防联军“恒辉队”所发行的军票，能够交换军装及军需品。","恒辉队军票",61476,1,1,0,999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,96,0,0,0,0,false,0,0
23,"亚拉戈哲学神典石",0,"",0,0,1,0,0,"古代亚拉戈帝国用于进行记录的奇妙石头。上面记载了关于哲学的内容。","亚拉戈哲学神典石",61482,70,1,0,9999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,95,0,0,0,0,false,0,0
24,"亚拉戈神话神典石",0,"",0,0,1,0,0,"古代亚拉戈帝国用于进行记录的奇妙石头。上面记载了关于神话的内容。","亚拉戈神话神典石",61483,90,1,0,9999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,94,0,0,0,0,false,0,0
25,"狼印战绩",0,"",0,0,1,0,0,"大国防联军之间通用的战绩票。<br>可以在狼狱水上竞技场换取兵装和军用品。","狼印战绩",61484,55,1,0,999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,91,0,0,0,0,false,0,0
26,"亚拉戈战记神典石",0,"",0,0,1,0,0,"古代亚拉戈帝国用于进行记录的奇妙石头。上面记载了关于战记的内容。","亚拉戈战记神典石",61492,110,1,0,9999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,93,0,0,0,0,false,0,0
27,"同盟徽章",0,"",0,0,1,0,0,"艾欧泽亚城邦军事同盟所发行的纪念徽章，是怪物狩猎成功的证明。","同盟徽章",61494,1,1,0,9999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,90,0,0,0,0,false,0,0
28,"亚拉戈诗学神典石",0,"",0,0,1,0,0,"古代亚拉戈帝国用于进行记录的奇妙石头。上面记载了关于诗学的内容。","亚拉戈诗学神典石",61493,130,1,0,9999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,92,0,0,0,0,false,0,0
29,"金碟币",0,"",0,0,1,0,0,"金碟游乐场中专用的代币。上面刻有戈德伯特·曼德维尔的侧面像。","金碟币",61495,1,1,0,9999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,1,1,1,false,false,false,false,false,false,false,0,89,0,0,0,0,false,0,0
30,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
31,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
32,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
33,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
34,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
35,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
36,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
37,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
38,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
39,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
40,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
41,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
42,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
43,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
44,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
45,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
46,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
47,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,0,0,0,false,0,0
